-20.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
-2.550000: a: -0.000167, b: 0.144190, amp: 0.144190, phase: 90.066227
-2.500000: a: -0.000167, b: 0.127157, amp: 0.127157, phase: 90.075098
-2.450000: a: -0.000167, b: 0.109433, amp: 0.109434, phase: 90.087261
-2.400000: a: -0.000167, b: 0.091486, amp: 0.091486, phase: 90.104380
-2.350000: a: -0.000167, b: 0.073809, amp: 0.073809, phase: 90.129378
-2.300000: a: -0.000167, b: 0.056914, amp: 0.056914, phase: 90.167785
-2.250000: a: -0.000167, b: 0.041318, amp: 0.041318, phase: 90.231115
-2.200000: a: -0.000167, b: 0.027535, amp: 0.027535, phase: 90.346806
-2.150000: a: -0.000167, b: 0.016061, amp: 0.016062, phase: 90.594545
-2.100000: a: -0.000167, b: 0.007367, amp: 0.007369, phase: 91.295977
-2.050000: a: -0.000167, b: 0.001886, amp: 0.001893, phase: 95.051208
-2.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
-1.950000: a: -0.000167, b: 0.002036, amp: 0.002043, phase: 94.680301
-1.900000: a: -0.000167, b: 0.008251, amp: 0.008253, phase: 91.157182
-1.850000: a: -0.000167, b: 0.018829, amp: 0.018830, phase: 90.507145
-1.800000: a: -0.000167, b: 0.033871, amp: 0.033872, phase: 90.281928
-1.750000: a: -0.000167, b: 0.053393, amp: 0.053393, phase: 90.178850
-1.700000: a: -0.000167, b: 0.077318, amp: 0.077319, phase: 90.123506
-1.650000: a: -0.000167, b: 0.105482, amp: 0.105482, phase: 90.090530
-1.600000: a: -0.000167, b: 0.137625, amp: 0.137625, phase: 90.069386
-1.550000: a: -0.000167, b: 0.173400, amp: 0.173400, phase: 90.055071
-1.500000: a: -0.000167, b: 0.212373, amp: 0.212373, phase: 90.044965
-1.450000: a: -0.000167, b: 0.254030, amp: 0.254030, phase: 90.037591
-1.400000: a: -0.000167, b: 0.297782, amp: 0.297782, phase: 90.032068
-1.350000: a: -0.000167, b: 0.342978, amp: 0.342978, phase: 90.027842
-1.300000: a: -0.000167, b: 0.388910, amp: 0.388910, phase: 90.024554
-1.250000: a: -0.000167, b: 0.434829, amp: 0.434829, phase: 90.021961
-1.200000: a: -0.000167, b: 0.479955, amp: 0.479955, phase: 90.019896
-1.150000: a: -0.000167, b: 0.523490, amp: 0.523490, phase: 90.018242
-1.100000: a: -0.000167, b: 0.564634, amp: 0.564634, phase: 90.016912
-1.050000: a: -0.000167, b: 0.602598, amp: 0.602598, phase: 90.015847
-1.000000: a: -0.000167, b: 0.636620, amp: 0.636620, phase: 90.015000
-0.950000: a: -0.000167, b: 0.665975, amp: 0.665975, phase: 90.014339
-0.900000: a: -0.000167, b: 0.689994, amp: 0.689994, phase: 90.013840
-0.850000: a: -0.000167, b: 0.708073, amp: 0.708073, phase: 90.013486
-0.800000: a: -0.000167, b: 0.719687, amp: 0.719687, phase: 90.013269
-0.750000: a: -0.000167, b: 0.724401, amp: 0.724401, phase: 90.013182
-0.700000: a: -0.000167, b: 0.721876, amp: 0.721876, phase: 90.013228
-0.650000: a: -0.000167, b: 0.711882, amp: 0.711882, phase: 90.013414
-0.600000: a: -0.000167, b: 0.694297, amp: 0.694297, phase: 90.013754
-0.550000: a: -0.000167, b: 0.669116, amp: 0.669116, phase: 90.014272
-0.500000: a: -0.000167, b: 0.636453, amp: 0.636453, phase: 90.015004
-0.450000: a: -0.000167, b: 0.596536, amp: 0.596536, phase: 90.016008
-0.400000: a: -0.000167, b: 0.549708, amp: 0.549708, phase: 90.017372
-0.350000: a: -0.000167, b: 0.496424, amp: 0.496424, phase: 90.019236
-0.300000: a: -0.000167, b: 0.437239, amp: 0.437239, phase: 90.021840
-0.250000: a: -0.000167, b: 0.372805, amp: 0.372805, phase: 90.025615
-0.200000: a: -0.000167, b: 0.303861, amp: 0.303861, phase: 90.031427
-0.150000: a: -0.000167, b: 0.231216, amp: 0.231216, phase: 90.041300
-0.100000: a: -0.000167, b: 0.155740, amp: 0.155741, phase: 90.061315
-0.050000: a: -0.000167, b: 0.078352, amp: 0.078353, phase: 90.121876
0.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
0.050000: a: -0.000167, b: -0.078352, amp: 0.078353, phase: -90.121876
0.100000: a: -0.000167, b: -0.155740, amp: 0.155741, phase: -90.061315
0.150000: a: -0.000167, b: -0.231216, amp: 0.231216, phase: -90.041300
0.200000: a: -0.000167, b: -0.303861, amp: 0.303861, phase: -90.031427
0.250000: a: -0.000167, b: -0.372805, amp: 0.372805, phase: -90.025615
0.300000: a: -0.000167, b: -0.437239, amp: 0.437239, phase: -90.021840
0.350000: a: -0.000167, b: -0.496424, amp: 0.496424, phase: -90.019236
0.400000: a: -0.000167, b: -0.549708, amp: 0.549708, phase: -90.017372
0.450000: a: -0.000167, b: -0.596536, amp: 0.596536, phase: -90.016008
0.500000: a: -0.000167, b: -0.636453, amp: 0.636453, phase: -90.015004
0.550000: a: -0.000167, b: -0.669116, amp: 0.669116, phase: -90.014272
0.600000: a: -0.000167, b: -0.694297, amp: 0.694297, phase: -90.013754
0.650000: a: -0.000167, b: -0.711882, amp: 0.711882, phase: -90.013414
0.700000: a: -0.000167, b: -0.721876, amp: 0.721876, phase: -90.013228
0.750000: a: -0.000167, b: -0.724401, amp: 0.724401, phase: -90.013182
0.800000: a: -0.000167, b: -0.719687, amp: 0.719687, phase: -90.013269
0.850000: a: -0.000167, b: -0.708073, amp: 0.708073, phase: -90.013486
0.900000: a: -0.000167, b: -0.689994, amp: 0.689994, phase: -90.013840
0.950000: a: -0.000167, b: -0.665975, amp: 0.665975, phase: -90.014339
1.000000: a: -0.000167, b: -0.636620, amp: 0.636620, phase: -90.015000
1.050000: a: -0.000167, b: -0.602598, amp: 0.602598, phase: -90.015847
1.100000: a: -0.000167, b: -0.564634, amp: 0.564634, phase: -90.016912
1.150000: a: -0.000167, b: -0.523490, amp: 0.523490, phase: -90.018242
1.200000: a: -0.000167, b: -0.479955, amp: 0.479955, phase: -90.019896
1.250000: a: -0.000167, b: -0.434829, amp: 0.434829, phase: -90.021961
1.300000: a: -0.000167, b: -0.388910, amp: 0.388910, phase: -90.024554
1.350000: a: -0.000167, b: -0.342978, amp: 0.342978, phase: -90.027842
1.400000: a: -0.000167, b: -0.297782, amp: 0.297782, phase: -90.032068
1.450000: a: -0.000167, b: -0.254030, amp: 0.254030, phase: -90.037591
1.500000: a: -0.000167, b: -0.212373, amp: 0.212373, phase: -90.044965
1.550000: a: -0.000167, b: -0.173400, amp: 0.173400, phase: -90.055071
1.600000: a: -0.000167, b: -0.137625, amp: 0.137625, phase: -90.069386
1.650000: a: -0.000167, b: -0.105482, amp: 0.105482, phase: -90.090530
1.700000: a: -0.000167, b: -0.077318, amp: 0.077319, phase: -90.123506
1.750000: a: -0.000167, b: -0.053393, amp: 0.053393, phase: -90.178850
1.800000: a: -0.000167, b: -0.033871, amp: 0.033872, phase: -90.281928
1.850000: a: -0.000167, b: -0.018829, amp: 0.018830, phase: -90.507145
1.900000: a: -0.000167, b: -0.008251, amp: 0.008253, phase: -91.157182
1.950000: a: -0.000167, b: -0.002036, amp: 0.002043, phase: -94.680301
2.000000: a: -0.000167, b: 0.000000, amp: 0.000167, phase: 180.000000
2.050000: a: -0.000167, b: -0.001886, amp: 0.001893, phase: -95.051208
2.100000: a: -0.000167, b: -0.007367, amp: 0.007369, phase: -91.295977
2.150000: a: -0.000167, b: -0.016061, amp: 0.016062, phase: -90.594545
2.200000: a: -0.000167, b: -0.027535, amp: 0.027535, phase: -90.346806
2.250000: a: -0.000167, b: -0.041318, amp: 0.041318, phase: -90.231115
2.300000: a: -0.000167, b: -0.056914, amp: 0.056914, phase: -90.167785
2.350000: a: -0.000167, b: -0.073809, amp: 0.073809, phase: -90.129378
2.400000: a: -0.000167, b: -0.091486, amp: 0.091486, phase: -90.104380
2.450000: a: -0.000167, b: -0.109433, amp: 0.109434, phase: -90.087261
2.500000: a: -0.000167, b: -0.127157, amp: 0.127157, phase: -90.075098
2.550000: a: -0.000167, b: -0.144190, amp: 0.144190, phase: -90.066227
2.600000: a: -0.000167, b: -0.160100, amp: 0.160100, phase: -90.059646
2.650000: a: -0.000167, b: -0.174500, amp: 0.174500, phase: -90.054724
2.700000: a: -0.000167, b: -0.187053, amp: 0.187053, phase: -90.051051
2.750000: a: -0.000167, b: -0.197478, amp: 0.197478, phase: -90.048356
2.800000: a: -0.000167, b: -0.205555, amp: 0.205555, phase: -90.046456
2.850000: a: -0.000167, b: -0.211126, amp: 0.211127, phase: -90.045230
2.900000: a: -0.000167, b: -0.214100, amp: 0.214100, phase: -90.044602
2.950000: a: -0.000167, b: -0.214449, amp: 0.214449, phase: -90.044529
3.000000: a: -0.000167, b: -0.212207, amp: 0.212207, phase: -90.045000
3.050000: a: -0.000167, b: -0.207469, amp: 0.207469, phase: -90.046028
3.100000: a: -0.000167, b: -0.200387, amp: 0.200387, phase: -90.047654
3.150000: a: -0.000167, b: -0.191163, amp: 0.191163, phase: -90.049954
3.200000: a: -0.000167, b: -0.180044, amp: 0.180044, phase: -90.053039
3.250000: a: -0.000167, b: -0.167314, amp: 0.167315, phase: -90.057074
3.300000: a: -0.000167, b: -0.153289, amp: 0.153289, phase: -90.062296
3.350000: a: -0.000167, b: -0.138304, amp: 0.138304, phase: -90.069046
3.400000: a: -0.000167, b: -0.122709, amp: 0.122710, phase: -90.077820
3.450000: a: -0.000167, b: -0.106862, amp: 0.106862, phase: -90.089361
3.500000: a: -0.000167, b: -0.091112, amp: 0.091113, phase: -90.104808
3.550000: a: -0.000167, b: -0.075803, amp: 0.075803, phase: -90.125975
3.600000: a: -0.000167, b: -0.061255, amp: 0.061255, phase: -90.155894
3.650000: a: -0.000167, b: -0.047765, amp: 0.047765, phase: -90.199922
3.700000: a: -0.000167, b: -0.035598, amp: 0.035598, phase: -90.268255
3.750000: a: -0.000167, b: -0.024979, amp: 0.024980, phase: -90.382281
3.800000: a: -0.000167, b: -0.016096, amp: 0.016097, phase: -90.593258
3.850000: a: -0.000167, b: -0.009087, amp: 0.009089, phase: -91.050755
3.900000: a: -0.000167, b: -0.004046, amp: 0.004050, phase: -92.358751
3.950000: a: -0.000167, b: -0.001018, amp: 0.001032, phase: -99.296122
4.000000: a: -0.000167, b: 0.000000, amp: 0.000167, phase: 180.000000
4.050000: a: -0.000167, b: -0.000942, amp: 0.000956, phase: -100.037986
4.100000: a: -0.000167, b: -0.003748, amp: 0.003752, phase: -92.545957
4.150000: a: -0.000167, b: -0.008284, amp: 0.008286, phase: -91.152548
4.200000: a: -0.000167, b: -0.014376, amp: 0.014377, phase: -90.664211
4.250000: a: -0.000167, b: -0.021819, amp: 0.021819, phase: -90.437655
4.300000: a: -0.000167, b: -0.030380, amp: 0.030380, phase: -90.314329
4.350000: a: -0.000167, b: -0.039806, amp: 0.039806, phase: -90.239897
4.400000: a: -0.000167, b: -0.049829, amp: 0.049830, phase: -90.191639
4.450000: a: -0.000167, b: -0.060176, amp: 0.060176, phase: -90.158689
4.500000: a: -0.000167, b: -0.070569, amp: 0.070569, phase: -90.135319
4.550000: a: -0.000167, b: -0.080737, amp: 0.080738, phase: -90.118276
4.600000: a: -0.000167, b: -0.090423, amp: 0.090423, phase: -90.105607
4.650000: a: -0.000167, b: -0.099383, amp: 0.099383, phase: -90.096086
4.700000: a: -0.000167, b: -0.107399, amp: 0.107399, phase: -90.088914
4.750000: a: -0.000167, b: -0.114280, amp: 0.114280, phase: -90.083561
4.800000: a: -0.000167, b: -0.119866, amp: 0.119866, phase: -90.079666
4.850000: a: -0.000167, b: -0.124033, amp: 0.124033, phase: -90.076990
4.900000: a: -0.000167, b: -0.126691, amp: 0.126692, phase: -90.075374
4.950000: a: -0.000167, b: -0.127792, amp: 0.127792, phase: -90.074725
5.000000: a: -0.000167, b: -0.127324, amp: 0.127324, phase: -90.075000
5.050000: a: -0.000167, b: -0.125313, amp: 0.125313, phase: -90.076203
5.100000: a: -0.000167, b: -0.121824, amp: 0.121824, phase: -90.078386
5.150000: a: -0.000167, b: -0.116955, amp: 0.116955, phase: -90.081650
5.200000: a: -0.000167, b: -0.110834, amp: 0.110834, phase: -90.086158
5.250000: a: -0.000167, b: -0.103621, amp: 0.103621, phase: -90.092156
5.300000: a: -0.000167, b: -0.095495, amp: 0.095495, phase: -90.099998
5.350000: a: -0.000167, b: -0.086657, amp: 0.086657, phase: -90.110197
5.400000: a: -0.000167, b: -0.077320, amp: 0.077320, phase: -90.123503
5.450000: a: -0.000167, b: -0.067707, amp: 0.067707, phase: -90.141039
5.500000: a: -0.000167, b: -0.058041, amp: 0.058041, phase: -90.164526
5.550000: a: -0.000167, b: -0.048546, amp: 0.048546, phase: -90.196706
5.600000: a: -0.000167, b: -0.039435, amp: 0.039435, phase: -90.242153
5.650000: a: -0.000167, b: -0.030910, amp: 0.030910, phase: -90.308940
5.700000: a: -0.000167, b: -0.023154, amp: 0.023155, phase: -90.412409
5.750000: a: -0.000167, b: -0.016332, amp: 0.016333, phase: -90.584682
5.800000: a: -0.000167, b: -0.010579, amp: 0.010581, phase: -90.902565
5.850000: a: -0.000167, b: -0.006006, amp: 0.006009, phase: -91.589495
5.900000: a: -0.000167, b: -0.002692, amp: 0.002697, phase: -93.542707
5.950000: a: -0.000167, b: -0.000685, amp: 0.000705, phase: -103.680344
6.000000: a: -0.000167, b: 0.000000, amp: 0.000167, phase: 180.000000
6.050000: a: -0.000167, b: -0.000622, amp: 0.000644, phase: -105.007489
6.100000: a: -0.000167, b: -0.002502, amp: 0.002508, phase: -93.810331
6.150000: a: -0.000167, b: -0.005566, amp: 0.005568, phase: -91.715263
6.200000: a: -0.000167, b: -0.009707, amp: 0.009709, phase: -90.983641
6.250000: a: -0.000167, b: -0.014799, amp: 0.014800, phase: -90.645236
6.300000: a: -0.000167, b: -0.020692, amp: 0.020693, phase: -90.461477
6.350000: a: -0.000167, b: -0.027222, amp: 0.027222, phase: -90.350794
6.400000: a: -0.000167, b: -0.034208, amp: 0.034209, phase: -90.279150
6.450000: a: -0.000167, b: -0.041466, amp: 0.041466, phase: -90.230293
6.500000: a: -0.000167, b: -0.048804, amp: 0.048804, phase: -90.195665
6.550000: a: -0.000167, b: -0.056035, amp: 0.056035, phase: -90.170418
6.600000: a: -0.000167, b: -0.062974, amp: 0.062974, phase: -90.151639
6.650000: a: -0.000167, b: -0.069448, amp: 0.069449, phase: -90.137502
6.700000: a: -0.000167, b: -0.075299, amp: 0.075299, phase: -90.126818
6.750000: a: -0.000167, b: -0.080384, amp: 0.080384, phase: -90.118795
6.800000: a: -0.000167, b: -0.084583, amp: 0.084583, phase: -90.112899
6.850000: a: -0.000167, b: -0.087797, amp: 0.087797, phase: -90.108766
6.900000: a: -0.000167, b: -0.089954, amp: 0.089955, phase: -90.106157
6.950000: a: -0.000167, b: -0.091010, amp: 0.091010, phase: -90.104926
7.000000: a: -0.000167, b: -0.090946, amp: 0.090946, phase: -90.105000
7.050000: a: -0.000167, b: -0.089771, amp: 0.089771, phase: -90.106374
7.100000: a: -0.000167, b: -0.087522, amp: 0.087522, phase: -90.109107
7.150000: a: -0.000167, b: -0.084261, amp: 0.084261, phase: -90.113330
7.200000: a: -0.000167, b: -0.080074, amp: 0.080074, phase: -90.119256
7.250000: a: -0.000167, b: -0.075068, amp: 0.075068, phase: -90.127208
7.300000: a: -0.000167, b: -0.069369, amp: 0.069369, phase: -90.137660
7.350000: a: -0.000167, b: -0.063117, amp: 0.063117, phase: -90.151294
7.400000: a: -0.000167, b: -0.056466, amp: 0.056466, phase: -90.169116
7.450000: a: -0.000167, b: -0.049575, amp: 0.049575, phase: -90.192624
7.500000: a: -0.000167, b: -0.042608, amp: 0.042608, phase: -90.224119
7.550000: a: -0.000167, b: -0.035730, amp: 0.035730, phase: -90.267264
7.600000: a: -0.000167, b: -0.029099, amp: 0.029099, phase: -90.328164
7.650000: a: -0.000167, b: -0.022867, amp: 0.022868, phase: -90.417585
7.700000: a: -0.000167, b: -0.017175, amp: 0.017176, phase: -90.555971
7.750000: a: -0.000167, b: -0.012148, amp: 0.012149, phase: -90.786054
7.800000: a: -0.000167, b: -0.007892, amp: 0.007894, phase: -91.209851
7.850000: a: -0.000167, b: -0.004495, amp: 0.004498, phase: -92.123338
7.900000: a: -0.000167, b: -0.002024, amp: 0.002030, phase: -94.708447
7.950000: a: -0.000167, b: -0.000519, amp: 0.000545, phase: -107.802802
8.000000: a: -0.000167, b: 0.000000, amp: 0.000167, phase: 180.000000
8.050000: a: -0.000167, b: -0.000461, amp: 0.000490, phase: -109.886518
8.100000: a: -0.000167, b: -0.001872, amp: 0.001879, phase: -95.088099
8.150000: a: -0.000167, b: -0.004181, amp: 0.004185, phase: -92.282640
8.200000: a: -0.000167, b: -0.007316, amp: 0.007318, phase: -91.305096
8.250000: a: -0.000167, b: -0.011183, amp: 0.011184, phase: -90.853860
8.300000: a: -0.000167, b: -0.015674, amp: 0.015675, phase: -90.609228
8.350000: a: -0.000167, b: -0.020666, amp: 0.020667, phase: -90.462070
8.400000: a: -0.000167, b: -0.026026, amp: 0.026026, phase: -90.366914
8.450000: a: -0.000167, b: -0.031612, amp: 0.031613, phase: -90.302072
8.500000: a: -0.000167, b: -0.037282, amp: 0.037282, phase: -90.256138
8.550000: a: -0.000167, b: -0.042889, amp: 0.042889, phase: -90.222653
8.600000: a: -0.000167, b: -0.048292, amp: 0.048292, phase: -90.197741
8.650000: a: -0.000167, b: -0.053357, amp: 0.053357, phase: -90.178970
8.700000: a: -0.000167, b: -0.057958, amp: 0.057958, phase: -90.164762
8.750000: a: -0.000167, b: -0.061984, amp: 0.061984, phase: -90.154061
8.800000: a: -0.000167, b: -0.065337, amp: 0.065337, phase: -90.146154
8.850000: a: -0.000167, b: -0.067939, amp: 0.067939, phase: -90.140558
8.900000: a: -0.000167, b: -0.069728, amp: 0.069729, phase: -90.136950
8.950000: a: -0.000167, b: -0.070667, amp: 0.070667, phase: -90.135131
9.000000: a: -0.000167, b: -0.070736, amp: 0.070736, phase: -90.135000
9.050000: a: -0.000167, b: -0.069938, amp: 0.069938, phase: -90.136540
9.100000: a: -0.000167, b: -0.068298, amp: 0.068298, phase: -90.139818
9.150000: a: -0.000167, b: -0.065860, amp: 0.065860, phase: -90.144994
9.200000: a: -0.000167, b: -0.062688, amp: 0.062688, phase: -90.152330
9.250000: a: -0.000167, b: -0.058863, amp: 0.058863, phase: -90.162230
9.300000: a: -0.000167, b: -0.054480, amp: 0.054480, phase: -90.175281
9.350000: a: -0.000167, b: -0.049648, amp: 0.049648, phase: -90.192340
9.400000: a: -0.000167, b: -0.044485, amp: 0.044486, phase: -90.214660
9.450000: a: -0.000167, b: -0.039117, amp: 0.039118, phase: -90.244117
9.500000: a: -0.000167, b: -0.033673, amp: 0.033673, phase: -90.283587
9.550000: a: -0.000167, b: -0.028281, amp: 0.028282, phase: -90.337649
9.600000: a: -0.000167, b: -0.023070, amp: 0.023070, phase: -90.413927
9.650000: a: -0.000167, b: -0.018159, amp: 0.018160, phase: -90.525860
9.700000: a: -0.000167, b: -0.013662, amp: 0.013663, phase: -90.698941
9.750000: a: -0.000167, b: -0.009680, amp: 0.009681, phase: -90.986402
9.800000: a: -0.000167, b: -0.006301, amp: 0.006303, phase: -91.515118
9.850000: a: -0.000167, b: -0.003598, amp: 0.003602, phase: -92.652258
9.900000: a: -0.000167, b: -0.001625, amp: 0.001634, phase: -95.855445
9.950000: a: -0.000167, b: -0.000420, amp: 0.000452, phase: -111.647522
10.000000: a: -0.000167, b: 0.000000, amp: 0.000167, phase: 180.000000
10.050000: a: -0.000167, b: -0.000364, amp: 0.000400, phase: -114.609619
10.100000: a: -0.000167, b: -0.001491, amp: 0.001500, phase: -96.378183
10.150000: a: -0.000167, b: -0.003342, amp: 0.003347, phase: -92.854625
10.200000: a: -0.000167, b: -0.005862, amp: 0.005864, phase: -91.628574
10.250000: a: -0.000167, b: -0.008978, amp: 0.008979, phase: -91.063530
10.300000: a: -0.000167, b: -0.012604, amp: 0.012605, phase: -90.757584
10.350000: a: -0.000167, b: -0.016644, amp: 0.016645, phase: -90.573726
10.400000: a: -0.000167, b: -0.020990, amp: 0.020991, phase: -90.454931
10.450000: a: -0.000167, b: -0.025531, amp: 0.025531, phase: -90.374028
10.500000: a: -0.000167, b: -0.030149, amp: 0.030149, phase: -90.316738
10.550000: a: -0.000167, b: -0.034727, amp: 0.034727, phase: -90.274981
10.600000: a: -0.000167, b: -0.039150, amp: 0.039151, phase: -90.243912
10.650000: a: -0.000167, b: -0.043309, amp: 0.043309, phase: -90.220492
10.700000: a: -0.000167, b: -0.047100, amp: 0.047100, phase: -90.202746
10.750000: a: -0.000167, b: -0.050430, amp: 0.050430, phase: -90.189357
10.800000: a: -0.000167, b: -0.053219, amp: 0.053220, phase: -90.179432
10.850000: a: -0.000167, b: -0.055401, amp: 0.055402, phase: -90.172365
10.900000: a: -0.000167, b: -0.056925, amp: 0.056925, phase: -90.167753
10.950000: a: -0.000167, b: -0.057755, amp: 0.057755, phase: -90.165342
11.000000: a: -0.000167, b: -0.057875, amp: 0.057875, phase: -90.165000
11.050000: a: -0.000167, b: -0.057284, amp: 0.057284, phase: -90.166700
11.100000: a: -0.000167, b: -0.056001, amp: 0.056001, phase: -90.170519
11.150000: a: -0.000167, b: -0.054060, amp: 0.054060, phase: -90.176642
11.200000: a: -0.000167, b: -0.051511, amp: 0.051511, phase: -90.185382
11.250000: a: -0.000167, b: -0.048419, amp: 0.048419, phase: -90.197221
11.300000: a: -0.000167, b: -0.044861, amp: 0.044861, phase: -90.212862
11.350000: a: -0.000167, b: -0.040926, amp: 0.040926, phase: -90.233332
11.400000: a: -0.000167, b: -0.036709, amp: 0.036709, phase: -90.260135
11.450000: a: -0.000167, b: -0.032313, amp: 0.032314, phase: -90.295518
11.500000: a: -0.000167, b: -0.027846, amp: 0.027846, phase: -90.342931
11.550000: a: -0.000167, b: -0.023413, amp: 0.023413, phase: -90.407862
11.600000: a: -0.000167, b: -0.019119, amp: 0.019120, phase: -90.499442
11.650000: a: -0.000167, b: -0.015067, amp: 0.015068, phase: -90.633764
11.700000: a: -0.000167, b: -0.011350, amp: 0.011351, phase: -90.841321
11.750000: a: -0.000167, b: -0.008052, amp: 0.008054, phase: -91.185727
11.800000: a: -0.000167, b: -0.005250, amp: 0.005252, phase: -91.818369
11.850000: a: -0.000167, b: -0.003003, amp: 0.003008, phase: -93.176234
11.900000: a: -0.000167, b: -0.001361, amp: 0.001371, phase: -96.983253
11.950000: a: -0.000167, b: -0.000354, amp: 0.000391, phase: -115.210533
12.000000: a: -0.000167, b: 0.000000, amp: 0.000167, phase: 180.000000
12.050000: a: -0.000167, b: -0.000299, amp: 0.000342, phase: -119.123719
12.100000: a: -0.000167, b: -0.001236, amp: 0.001247, phase: -97.679438
12.150000: a: -0.000167, b: -0.002780, amp: 0.002785, phase: -93.431159
12.200000: a: -0.000167, b: -0.004885, amp: 0.004888, phase: -91.954075
12.250000: a: -0.000167, b: -0.007493, amp: 0.007495, phase: -91.274248
12.300000: a: -0.000167, b: -0.010533, amp: 0.010534, phase: -90.906548
12.350000: a: -0.000167, b: -0.013924, amp: 0.013925, phase: -90.685764
12.400000: a: -0.000167, b: -0.017579, amp: 0.017580, phase: -90.543202
12.450000: a: -0.000167, b: -0.021403, amp: 0.021404, phase: -90.446160
12.500000: a: -0.000167, b: -0.025298, amp: 0.025299, phase: -90.377465
12.550000: a: -0.000167, b: -0.029166, amp: 0.029167, phase: -90.327404
12.600000: a: -0.000167, b: -0.032911, amp: 0.032911, phase: -90.290155
12.650000: a: -0.000167, b: -0.036438, amp: 0.036438, phase: -90.262068
12.700000: a: -0.000167, b: -0.039661, amp: 0.039661, phase: -90.240771
12.750000: a: -0.000167, b: -0.042501, amp: 0.042501, phase: -90.224683
12.800000: a: -0.000167, b: -0.044889, amp: 0.044889, phase: -90.212732
12.850000: a: -0.000167, b: -0.046767, amp: 0.046767, phase: -90.204189
12.900000: a: -0.000167, b: -0.048091, amp: 0.048091, phase: -90.198566
12.950000: a: -0.000167, b: -0.048831, amp: 0.048831, phase: -90.195557
13.000000: a: -0.000167, b: -0.048971, amp: 0.048971, phase: -90.194999
13.050000: a: -0.000167, b: -0.048509, amp: 0.048509, phase: -90.196856
13.100000: a: -0.000167, b: -0.047459, amp: 0.047459, phase: -90.201210
13.150000: a: -0.000167, b: -0.045850, amp: 0.045850, phase: -90.208274
13.200000: a: -0.000167, b: -0.043721, amp: 0.043722, phase: -90.218412
13.250000: a: -0.000167, b: -0.041128, amp: 0.041129, phase: -90.232182
13.300000: a: -0.000167, b: -0.038135, amp: 0.038136, phase: -90.250403
13.350000: a: -0.000167, b: -0.034817, amp: 0.034817, phase: -90.274272
13.400000: a: -0.000167, b: -0.031254, amp: 0.031254, phase: -90.305540
13.450000: a: -0.000167, b: -0.027533, amp: 0.027533, phase: -90.346827
13.500000: a: -0.000167, b: -0.023745, amp: 0.023746, phase: -90.402151
13.550000: a: -0.000167, b: -0.019981, amp: 0.019982, phase: -90.477902
13.600000: a: -0.000167, b: -0.016331, amp: 0.016332, phase: -90.584712
13.650000: a: -0.000167, b: -0.012881, amp: 0.012882, phase: -90.741299
13.700000: a: -0.000167, b: -0.009712, amp: 0.009714, phase: -90.983115
13.750000: a: -0.000167, b: -0.006898, amp: 0.006900, phase: -91.384033
13.800000: a: -0.000167, b: -0.004503, amp: 0.004506, phase: -92.119607
13.850000: a: -0.000167, b: -0.002581, amp: 0.002586, phase: -93.695249
13.900000: a: -0.000167, b: -0.001172, amp: 0.001184, phase: -98.091497
13.950000: a: -0.000167, b: -0.000307, amp: 0.000349, phase: -118.497107
14.000000: a: -0.000167, b: 0.000000, amp: 0.000167, phase: 180.000000
14.050000: a: -0.000167, b: -0.000253, amp: 0.000303, phase: -123.390500
14.100000: a: -0.000167, b: -0.001053, amp: 0.001067, phase: -98.990649
14.150000: a: -0.000167, b: -0.002376, amp: 0.002382, phase: -94.012178
14.200000: a: -0.000167, b: -0.004183, amp: 0.004186, phase: -92.281595
14.250000: a: -0.000167, b: -0.006425, amp: 0.006427, phase: -91.486017
14.300000: a: -0.000167, b: -0.009041, amp: 0.009042, phase: -91.056121
14.350000: a: -0.000167, b: -0.011963, amp: 0.011964, phase: -90.798183
14.400000: a: -0.000167, b: -0.015116, amp: 0.015116, phase: -90.631727
14.450000: a: -0.000167, b: -0.018418, amp: 0.018419, phase: -90.518469
14.500000: a: -0.000167, b: -0.021786, amp: 0.021786, phase: -90.438319
14.550000: a: -0.000167, b: -0.025135, amp: 0.025135, phase: -90.379920
14.600000: a: -0.000167, b: -0.028381, amp: 0.028381, phase: -90.336467
14.650000: a: -0.000167, b: -0.031443, amp: 0.031444, phase: -90.303696
14.700000: a: -0.000167, b: -0.034247, amp: 0.034247, phase: -90.278837
14.750000: a: -0.000167, b: -0.036722, amp: 0.036722, phase: -90.260041
14.800000: a: -0.000167, b: -0.038809, amp: 0.038810, phase: -90.246055
14.850000: a: -0.000167, b: -0.040458, amp: 0.040458, phase: -90.236028
14.900000: a: -0.000167, b: -0.041629, amp: 0.041629, phase: -90.229389
14.950000: a: -0.000167, b: -0.042295, amp: 0.042295, phase: -90.225777
15.000000: a: -0.000167, b: -0.042441, amp: 0.042442, phase: -90.224999
15.050000: a: -0.000167, b: -0.042066, amp: 0.042066, phase: -90.227006
15.100000: a: -0.000167, b: -0.041180, amp: 0.041180, phase: -90.231890
15.150000: a: -0.000167, b: -0.039807, amp: 0.039807, phase: -90.239890
15.200000: a: -0.000167, b: -0.037981, amp: 0.037982, phase: -90.251419
